picId,clientId,name,unidade,quantidade_linhas_unidade,lat,lon,init_time,forecast_horizon_hours,forecast_timestamp,ensemble_member,temperature_c,precipitation_6hr_mm,wind_speed_10m_ms,sea_level_pressure_pa
25665,2314,UAE_440010,UAE,13,-17.66004,-52.3381,2026-09-17 06:00:00,6,2026-09-17 12:00:00,34,23.89,0.0,1.74,102030.3
25665,2314,UAE_440010,UAE,13,-17.66004,-52.3381,2026-09-17 06:00:00,6,2026-09-17 12:00:00,35,24.47,0.0,2.27,102006.5
25665,2314,UAE_440010,UAE,13,-17.66004,-52.3381,2026-09-17 06:00:00,6,2026-09-17 12:00:00,36,24.79,0.0,2.7,101996.5
25665,2314,UAE_440010,UAE,13,-17.66004,-52.3381,2026-09-17 06:00:00,6,2026-09-17 12:00:00,37,26.06,0.0,2.66,101965.6
25665,2314,UAE_440010,UAE,13,-17.66004,-52.3381,2026-09-17 06:00:00,6,2026-09-17 12:00:00,38,24.06,0.0,2.36,102047.9
25665,2314,UAE_440010,UAE,13,-17.66004,-52.3381,2026-09-17 06:00:00,6,2026-09-17 12:00:00,39,23.88,0.0,2.26,102027.2
25665,2314,UAE_440010,UAE,13,-17.66004,-52.3381,2026-09-17 06:00:00,6,2026-09-17 12:00:00,40,24.42,0.0,1.87,102000.6
25665,2314,UAE_440010,UAE,13,-17.66004,-52.3381,2026-09-17 06:00:00,6,2026-09-17 12:00:00,41,24.23,0.0,1.82,102016.4
25665,2314,UAE_440010,UAE,13,-17.66004,-52.3381,2026-09-17 06:00:00,6,2026-09-17 12:00:00,42,23.67,0.0,2.39,102003.6
25665,2314,UAE_440010,UAE,13,-17.66004,-52.3381,2026-09-17 06:00:00,6,2026-09-17 12:00:00,43,24.82,0.0,1.56,101973.0
25665,2314,UAE_440010,UAE,13,-17.66004,-52.3381,2026-09-17 06:00:00,6,2026-09-17 12:00:00,44,24.37,0.0,2.21,101981.4
25665,2314,UAE_440010,UAE,13,-17.66004,-52.3381,2026-09-17 06:00:00,6,2026-09-17 12:00:00,45,24.08,0.0,2.3,102033.7
25665,2314,UAE_440010,UAE,13,-17.66004,-52.3381,2026-09-17 06:00:00,6,2026-09-17 12:00:00,46,23.94,0.014,2.45,101994.2
25665,2314,UAE_440010,UAE,13,-17.66004,-52.3381,2026-09-17 06:00:00,6,2026-09-17 12:00:00,47,24.85,0.0,2.24,101999.9
25665,2314,UAE_440010,UAE,13,-17.66004,-52.3381,2026-09-17 06:00:00,6,2026-09-17 12:00:00,48,24.41,0.0,2.3,101982.6
25665,2314,UAE_440010,UAE,13,-17.66004,-52.3381,2026-09-17 06:00:00,6,2026-09-17 12:00:00,49,24.23,0.002,2.13,102029.3
