picId,clientId,name,unidade,lat,lon,rodada_init_time,data_hora_observacao,temp_media_c,temp_min_c,temp_max_c,precipitacao_6h_media_mm,precipitacao_6h_max_mm,vento_medio_ms,vento_rajada_max_ms,pressao_mar_pa
25865,2314,UCP_120089,UCP,-22.0687,-51.9146,2026-07-01 00:00:00,2026-07-01 06:00:00,20.59,19.66,21.32,0.001,0.005,3.09,3.63,101449.9
26145,2314,UCP_120110,UCP,-22.35368,-52.35855,2026-07-01 00:00:00,2026-07-01 06:00:00,20.74,19.66,21.55,0.001,0.008,3.22,3.88,101448.9
26222,2314,UCP_120116,UCP,-22.561271,-52.187249,2026-07-01 00:00:00,2026-07-01 06:00:00,20.52,19.66,21.73,0.001,0.011,3.07,3.84,101444.6
25656,2314,UCP_120171,UCP,-22.306128,-52.200888,2026-07-01 00:00:00,2026-07-01 06:00:00,20.74,19.66,21.55,0.001,0.008,3.22,3.88,101448.9
25262,2314,UCP_120204,UCP,-22.2032,-52.33885,2026-07-01 00:00:00,2026-07-01 06:00:00,20.74,19.66,21.55,0.001,0.008,3.22,3.88,101448.9
25663,2314,UCP_120300,UCP,-22.22641,-52.09456,2026-07-01 00:00:00,2026-07-01 06:00:00,20.57,19.71,21.67,0.001,0.004,3.32,4.17,101461.5
26232,2314,UCP_120345,UCP,-22.470616,-52.162091,2026-07-01 00:00:00,2026-07-01 06:00:00,20.52,19.66,21.73,0.001,0.011,3.07,3.84,101444.6
26226,2314,UCP_120358,UCP,-22.376962,-52.180874,2026-07-01 00:00:00,2026-07-01 06:00:00,20.52,19.66,21.73,0.001,0.011,3.07,3.84,101444.6
22915,2314,UCP_120364,UCP,-22.13654,-52.34378,2026-07-01 00:00:00,2026-07-01 06:00:00,20.74,19.66,21.55,0.001,0.008,3.22,3.88,101448.9
19228,2314,UCP_120380,UCP,-22.272701,-52.176075,2026-07-01 00:00:00,2026-07-01 06:00:00,20.74,19.66,21.55,0.001,0.008,3.22,3.88,101448.9
26250,2314,UCP_120384,UCP,-22.289614,-52.25926,2026-07-01 00:00:00,2026-07-01 06:00:00,20.74,19.66,21.55,0.001,0.008,3.22,3.88,101448.9
26227,2314,UCP_120387,UCP,-22.3566,-52.5217,2026-07-01 00:00:00,2026-07-01 06:00:00,21.28,20.26,22.32,0.001,0.006,3.71,4.48,101417.6
19171,2314,UCP_120442,UCP,-22.21484,-52.43011,2026-07-01 00:00:00,2026-07-01 06:00:00,21.28,20.26,22.32,0.001,0.006,3.71,4.48,101417.6
16548,2314,UCP_120454,UCP,-22.35487,-52.119445,2026-07-01 00:00:00,2026-07-01 06:00:00,20.57,19.71,21.67,0.001,0.004,3.32,4.17,101461.5
26131,2314,UCP_120460,UCP,-22.278781,-52.237634,2026-07-01 00:00:00,2026-07-01 06:00:00,20.74,19.66,21.55,0.001,0.008,3.22,3.88,101448.9
26112,2314,UCP_120474,UCP,-22.09439,-52.14659,2026-07-01 00:00:00,2026-07-01 06:00:00,21.0,20.3,21.99,0.001,0.004,2.9,3.76,101428.3
25989,2314,UCP_120490,UCP,-22.32888,-52.56191,2026-07-01 00:00:00,2026-07-01 06:00:00,21.28,20.26,22.32,0.001,0.006,3.71,4.48,101417.6
26111,2314,UCP_128051,UCP,-22.28051,-52.06928,2026-07-01 00:00:00,2026-07-01 06:00:00,20.57,19.71,21.67,0.001,0.004,3.32,4.17,101461.5
26113,2314,UCP_129041,UCP,-22.44812,-52.45569,2026-07-01 00:00:00,2026-07-01 06:00:00,21.1,20.07,22.17,0.001,0.008,3.19,4.2,101425.0
26231,2314,UCP_129454,UCP,-22.0904,-52.04932,2026-07-01 00:00:00,2026-07-01 06:00:00,20.59,19.66,21.32,0.001,0.005,3.09,3.63,101449.9
25955,2314,UCP_129502,UCP,-22.11716,-52.28379,2026-07-01 00:00:00,2026-07-01 06:00:00,21.0,20.3,21.99,0.001,0.004,2.9,3.76,101428.3
25088,2314,UCP_129993,UCP,-22.397446,-52.106702,2026-07-01 00:00:00,2026-07-01 06:00:00,20.59,19.38,21.85,0.001,0.01,2.68,3.53,101444.7
26137,2314,UCR_430013,UCR,-18.439294,-53.194014,2026-07-01 00:00:00,2026-07-01 06:00:00,18.97,17.86,20.12,0.001,0.009,3.13,3.95,101488.1
26127,2314,UCR_430028,UCR,-18.620581,-53.076687,2026-07-01 00:00:00,2026-07-01 06:00:00,17.55,16.38,18.94,0.001,0.007,2.61,3.37,101530.4
25705,2314,UCR_430035,UCR,-18.367395,-53.19083,2026-07-01 00:00:00,2026-07-01 06:00:00,18.65,16.72,19.94,0.001,0.016,3.1,3.8,101524.2
25284,2314,UCR_430038,UCR,-18.395072,-53.130407,2026-07-01 00:00:00,2026-07-01 06:00:00,18.97,17.86,20.12,0.001,0.009,3.13,3.95,101488.1
16091,2314,UCR_430042,UCR,-18.35544,-53.30809,2026-07-01 00:00:00,2026-07-01 06:00:00,18.65,16.72,19.94,0.001,0.016,3.1,3.8,101524.2
26014,2314,UCR_430069,UCR,-18.476075,-53.259297,2026-07-01 00:00:00,2026-07-01 06:00:00,18.97,17.86,20.12,0.001,0.009,3.13,3.95,101488.1
26142,2314,UCR_430080,UCR,-18.5404,-53.309515,2026-07-01 00:00:00,2026-07-01 06:00:00,18.97,17.86,20.12,0.001,0.009,3.13,3.95,101488.1
26136,2314,UCR_430082,UCR,-18.726293,-53.295587,2026-07-01 00:00:00,2026-07-01 06:00:00,18.83,17.96,19.96,0.001,0.008,2.94,3.67,101465.8
26154,2314,UCR_430100,UCR,-18.72919,-53.23845,2026-07-01 00:00:00,2026-07-01 06:00:00,18.83,17.96,19.96,0.001,0.008,2.94,3.67,101465.8
11649,2314,UCR_430188,UCR,-18.442711,-53.328876,2026-07-01 00:00:00,2026-07-01 06:00:00,18.97,17.86,20.12,0.001,0.009,3.13,3.95,101488.1
