picId,clientId,name,unidade,lat,lon,quantidade_linhas_unidade
26016,2314,UMV_410172,UMV,-17.68703,-53.05093,17
21292,2314,UMV_410188,UMV,-17.75885,-53.13167,17
26015,2314,UMV_410205,UMV,-17.801945,-52.973335,17
25904,2314,UMV_410209,UMV,-17.695635,-52.945965,17
10725,2314,UMV_410228,UMV,-17.97149,-53.04733,17
22596,2314,UMV_410237,UMV,-17.63743,-53.08039,17
26086,2314,UMV_410247,UMV,-17.7553,-53.054473,17
26061,2314,UMV_418246,UMV,-17.627,-53.1307,17
26088,2314,UMV_418259,UMV,-17.73877,-52.76438,17
25290,2314,UMV_419033,UMV,-17.49263,-52.68559,17
26050,2314,UMV_419132,UMV,-17.56163,-52.87835,17
26037,2314,UAT_420004,UAT,-17.73622,-53.3182,16
26159,2314,UAT_420006,UAT,-17.6545937,-53.3175924,16
26053,2314,UAT_420026,UAT,-17.66554,-53.27472,16
25195,2314,UAT_420027,UAT,-17.89151,-53.19728,16
26157,2314,UAT_420031,UAT,-17.59259,-53.31711,16
26147,2314,UAT_420033,UAT,-17.50442,-53.3002,16
19879,2314,UAT_420048,UAT,-17.95031,-53.34072,16
26151,2314,UAT_420109,UAT,-17.53904,-53.50165,16
26150,2314,UAT_420120,UAT,-17.6786,-53.41716,16
26166,2314,UAT_420154,UAT,-17.41446,-53.34319,16
25314,2314,UAT_428001,UAT,-17.74048,-53.44137,16
25098,2314,UAT_428003,UAT,-17.78489,-53.38451,16
22774,2314,UAT_428079,UAT,-17.89667,-53.59128,16
26135,2314,UAT_429053,UAT,-17.75157,-53.24856,16
26102,2314,UAT_429059,UAT,-17.97345,-53.17618,16
25443,2314,UAT_429070,UAT,-17.8294,-53.23993,16
25665,2314,UAE_440010,UAE,-17.66004,-52.3381,13
11002,2314,UAE_440031,UAE,-17.72785,-52.40737,13
26025,2314,UAE_440037,UAE,-17.51801,-52.28823,13
26041,2314,UAE_440043,UAE,-17.6238,-52.46665,13
26042,2314,UAE_440061,UAE,-17.52854,-52.22775,13
26049,2314,UAE_440178,UAE,-17.37638,-52.50827,13
16272,2314,UAE_440235,UAE,-17.65046,-51.86691,13
25628,2314,UAE_440264,UAE,-17.5812,-52.36706,13
26045,2314,UAE_440286,UAE,-17.74924,-51.94314,13
26056,2314,UAE_440293,UAE,-17.57164,-52.29925,13
25664,2314,UAE_448060,UAE,-17.39922,-52.3558,13
26062,2314,UAE_449145,UAE,-17.44726,-52.96758,13
25249,2314,UAE_449203,UAE,-17.26479,-52.96622,13
13796,2314,UEL_310014,UEL,-21.8499,-54.21598,12
25744,2314,UEL_310031,UEL,-21.87163,-54.079,12
22923,2314,UEL_310102,UEL,-21.65768,-53.79838,12
26104,2314,UEL_310165,UEL,-21.705631,-53.987955,12
25717,2314,UEL_310210,UEL,-21.881881,-53.942005,12
26035,2314,UEL_310240,UEL,-21.81814,-53.86253,12
26065,2314,UEL_310268,UEL,-21.75892,-53.93119,12
26155,2314,UEL_310405,UEL,-21.80317,-54.32009,12
25352,2314,UEL_318346,UEL,-21.91083,-54.14432,12
26132,2314,UEL_318401,UEL,-21.70617,-53.87426,12
25317,2314,UEL_318908,UEL,-21.801336,-54.105838,12
26158,2314,UEL_320315,UEL,-21.868826,-54.307646,12
